,Gene,WT_K27me3,NSD1KO_K27me3,WT_K36me2,NSD1KO_K36me2,WT_K36me3,NSD1KO_K36me3,change_K27me3,change_K36me3,change_K36me2,LFC,tpm_Parental,tpm_NSD1KO
5509,Zfp654,0.0084808944386805,0.0219045368238398,0.1700924193551485,0.1163560201646352,0.0245391109645608,0.0251160188608175,1.3689413769322671,0.0335248187370558,-0.5477729881633286,0.643576571983913,47.08626842385594,70.8728803153025
5510,Vgll3,0.0191998120813291,0.0151540528439073,0.1502582197720083,0.0978736816431222,0.0049711066626885,0.0117916382974999,-0.3413885067451456,1.2461252123370516,-0.6184510401610108,3.64890301136739,1.1733172232005655,14.383083760289042
5511,Gbe1,0.0142902826659513,0.0819372737420431,0.1491261844244579,0.0045232727258406,0.0036604635580314,0.0012480906124424,2.5194854379018623,-1.552303682875151,-5.043022801916688,-1.13807397578378,3.978480962629993,1.4983609599302194
5512,Robo1,0.0156674104534081,0.0672838250273919,0.1705213971050007,0.0545579687632718,0.0043185308550373,0.0045556390719365,2.102492976420957,0.077112854239264,-1.6440909428730428,2.24760934026174,9.144514360450255,41.04033013463631
5513,Nrip1,0.0070842492678965,0.0112263023139855,0.261288055057345,0.1225649684808362,0.0158098874404074,0.0099217055313137,0.6641959343156997,-0.6721670514799267,-1.0920944856310555,0.739745360925123,10.33932700558448,16.732074574747173
5514,Usp25,0.0120376396632881,0.0547435750932297,0.1746739249030321,0.0586725562496246,0.0126862634192614,0.006147185742512,2.185137118042854,-1.0452692207913428,-1.573906506763489,-0.71372076458203,15.446125110141264,8.21583848450653
5515,Cxadr,0.0117467114847433,0.0207191242127677,0.1672277660995525,0.0942758618064075,0.0368822567476643,0.0342984867954598,0.8187060943342681,-0.1047820059641568,-0.8268540702662857,0.983494968375158,30.12073425862815,56.643839761530266
5516,Mrpl39,0.0046488538271239,0.0123784040779344,0.0969108891996678,0.0465131998004714,0.0990860036109411,0.0803289752192666,1.412878353506862,-0.302760812238758,-1.059018589160287,-0.33662723202893,104.1894642134462,74.89997750700122
5517,Jam2,0.0048905187399245,0.010288891535953,0.1912206610264367,0.0805766408640455,0.0644854532054432,0.0692352704782009,1.073028157374084,0.1025334259358377,-1.2468048444162354,0.558186963027769,126.27865549407171,180.773209244444
5518,Atp5j,0.0040816025884553,0.0139539708222659,0.0931885076166044,0.0502707090755493,0.1032269820179643,0.0825389622514874,1.773468097995729,-0.3226729145529883,-0.8904340082692568,-0.337949607537061,56.81520448942447,40.182987983657696
5519,App,0.0293194572366821,0.1510696321736884,0.2423695164947813,0.0070340805709183,0.0050686926498203,0.0014947898822446,2.3652833793298447,-1.761670982196916,-5.106702587914464,-1.39186633166942,2.043424272980256,0.6499677218360067
5520,Cyyr1,0.0162383766231482,0.0662144334999349,0.2086614176285407,0.0667321508617709,0.0057240591352349,0.0089255571064765,2.027738320502761,0.6409036440260646,-1.6447099551900624,1.88046521794805,1.4209749772262152,5.041728690732684
5521,Cct8,0.003245197385882,0.0155986928686617,0.0527306269797004,0.0251879796939199,0.174760028252051,0.1217662295102945,2.2650470034393075,-0.5212611705957655,-1.0659057414165487,-0.230478736115212,707.6844193595659,556.7412205140657
5522,Tiam1,0.0132261064620911,0.0317225344450464,0.307329870075291,0.1139137035793619,0.0183747416558563,0.0157879004852077,1.2621196189969843,-0.2189046354387959,-1.431846681822869,0.618314894172047,34.187700776368914,50.7910391108647
5523,Sod1,0.0016230194090193,0.0134449070611876,0.0937907413784163,0.0501469451255862,0.1383415802135529,0.1115930109857811,3.050307624823744,-0.3099881661538705,-0.9032836963126324,0.316173961546214,241.78522032283047,287.94660933432624
5524,Scaf4,0.0041788585719997,0.0137336126562103,0.1370170823096734,0.0880478654671283,0.1027050159855333,0.0719730837315408,1.7165303409541868,-0.5129772648564915,-0.6379958347701535,-0.232943866563986,97.981906581653,76.56436411618509
