,Gene,WT_K27me3,NSD1KO_K27me3,WT_K36me2,NSD1KO_K36me2,WT_K36me3,NSD1KO_K36me3,change_K27me3,change_K36me3,change_K36me2,LFC,tpm_Parental,tpm_NSD1KO
431,Cd34,0.0392389902645989,0.1350486718867893,0.1583374728170868,0.0051502603782093,0.0048273520831114,0.0009737998354543,1.7831196296450549,-2.309534891695238,-4.942213548487831,-3.81164124446625,1.6459924863637947,0.0906440219089682
440,Bend7,0.0284035469311537,0.1022389207320606,0.2557502156660699,0.0246618927586707,0.0079130848847898,0.0030939569680656,1.8478015073334533,-1.35478710192925,-3.374380023036744,0.679873404943562,2.2489956540252622,4.219753899403332
444,Ccdc3,0.0192858474387332,0.1708719831182747,0.3317582357785033,0.0075534245345842,0.0098859792325378,0.0016649505635762,3.1473014202363085,-2.569904534998792,-5.456857595439097,-3.16924865405307,8.98210105182373,0.8389732343419964
455,Vim,0.0452467512181534,0.0304160263933135,0.1321677261841459,0.0454785728343404,0.0289449602961397,0.0502552125623996,-0.572982519345496,0.7959610653956727,-1.539111043804919,2.04531564147001,44.67708327206272,175.05877004970375
476,Psd4,0.0478627929828773,0.1049880426990888,0.2362819585834217,0.045379696096422,0.0121490927391284,0.0164634478304014,1.1332485343909668,0.4384179200786865,-2.380390623318529,2.9392314803315,0.9144369802670708,6.74896808730421
478,Cacna1b,0.0328447652035065,0.1759204769528979,0.2496973049373816,0.0125826630555754,0.0099485424378535,0.0019759973080421,2.421188063381197,-2.3319041902159885,-4.310671051290771,-0.598013770377243,3.650458192442706,2.0373957044375364
504,Col5a1,0.0218097609013212,0.1444257567724788,0.2856787245481104,0.0127043000792984,0.0057759805522595,0.0022337323608413,2.727282195208493,-1.3706095479224156,-4.491004797951787,0.398306579513658,3.714153384590872,4.94167216111689
505,Olfm1,0.0404598748345155,0.1718190114960175,0.2719684092050806,0.0100189456365798,0.0096260243196229,0.0016648286075074,2.086325915247285,-2.5315664073131643,-4.762636486562448,-1.4330615862466,8.337266924577335,2.620493592284731
530,Aif1l,0.0346510508423229,0.1695266636646812,0.3209749330053389,0.0140130163332218,0.013135331058995,0.0021602054824483,2.29054119271866,-2.6042121065345727,-4.517621194767544,-1.91196012593031,6.617033073396029,1.5413165555341366
531,Fam78a,0.0393025293218591,0.0830396359673889,0.4124697497445621,0.0540457459333739,0.024615044938494,0.0128584227841784,1.0791779587738062,-0.9368266810780898,-2.9320353472968463,0.587679560408792,6.1965773442347984,9.602436149112483
532,Dnm1,0.0297476846335256,0.2109611552597821,0.3469197418484505,0.0155549719877386,0.0150739005873398,0.0029370760762402,2.826128088888909,-2.3596002432243703,-4.479154239202583,-2.93096602632656,13.313665484643922,1.555871432172058
552,Phf19,0.0434746243735256,0.0740592040581404,0.2461131807524931,0.0917704031099294,0.0286373183700239,0.0196715007088624,0.7685054819009771,-0.5417893805525743,-1.423221074428,0.387800306021938,9.55751482980478,12.516357346046156
